level,pos,en,fr,de,es,it,pt
1,adjective,bad,mauvais,schlecht,malo,cattivo,ruim
1,adjective,big,gross,grand,grande,grande,grande
1,adjective,good,bon,gut,bueno,buono,bom
1,adjective,happy,heureux,glücklich,feliz,felice,feliz
1,adjective,interesting,intéressant,interessant,interesante,interessante,interessante
1,adjective,sad,triste,traurig,triste,triste,triste
1,adjective,small,klein,petit,pequeño,piccolo,pequeno
1,adjective,sorry,désolé,Entschuldigung,lo siento,mi dispiace,desculpe
1,noun,age,âge,Alter,edad,età,idade
1,noun,answer,réponse,Antwort,respuesta,risposta,resposta
1,noun,coffee,Kaffee,café,café,caffè,café
1,noun,conversation,conversation,Konversation,conversación,conversazione,conversa
1,noun,day,Tag,jour,día,giorno,dia
1,noun,friend,Freund,ami,amigo,amico,amigo
1,noun,hour,Stunde,heure,hora,ora,hora
1,noun,language,langue,Sprache,idioma,lingua,idioma
1,noun,menu,Speisekarte,carte,carta,menù,cardápio
1,noun,message,message,Nachricht,mensaje,messaggio,mensagem
1,noun,name,nom,Name,nombre,nome,nome
1,noun,number,numéro,Nummer,número,numero,número
1,noun,pen,stylo,Stift,bolígrafo,penna,caneta
1,noun,question,question,Frage,pregunta,domanda,pergunta
1,noun,sentence,phrase,Satz,frase,frase,frase
1,noun,tea,Tee,thé,té,tè,chá
1,noun,time,temps,Zeit,tiempo,tempo,tempo
1,noun,water,Wasser,eau,agua,acqua,água
1,noun,word,mot,Wort,palabra,parola,palavra
1,verb,ask,demander,fragen,preguntare,chiedere,perguntar
1,verb,eat,essen,manger,comer,mangiare,comer
1,verb,get,bekommen,obtenir,obtener,ottenere,obter
1,verb,have,haben,avoir,tener,avere,ter
1,verb,help,helfen,aider,ayudar,aiutare,ajudar
1,verb,know,savoir,wissen,saber,sapere,saber
1,verb,like,mögen,aimer,gustar,piacere,gostar
1,verb,say,dire,sagen,decir,dire,dizer
1,verb,see,voir,sehen,ver,vedere,ver
1,verb,speak,parler,sprechen,hablar,parlare,falar
1,verb,take,nehmen,prendre,tomar,prendere,pegar
1,verb,understand,verstehen,comprendre,entender,capire,entender
2,adjective,hungry,hungern,avoir faim,tener hambre,avere fame,estar com fome
2,adjective,thirsty,dursten,avoir soif,tener sed,avere sete,estar com sede
2,noun,advice,conseil,Ratschlag,consejo,consiglio,conselho
2,noun,bathroom,Badezimmer,toilettes,baño,bagno,banheiro
2,noun,directions,directions,Wegebeschreibung,direcciones,direzioni,direções
2,noun,document,document,Dokument,documento,documento,documento
2,noun,envelope,enveloppe,Umschlag,sobre,busta,envelope
2,noun,information,information,Information,información,informazione,informação
2,noun,invitation,invitation,Einladung,invitación,invito,convite
2,noun,mail,mail,Post,correo,posta,correio
2,noun,meeting,réunion,Meeting,reunión,riunione,reunião
2,noun,month,Monat,mois,mes,mese,mês
2,noun,news,nouvelles,Nachrichten,noticias,notizie,notícias
2,noun,post,poste,Post,correo,posta,correio
2,noun,story,histoire,Geschichte,historia,storia,história
2,noun,week,Woche,semaine,semana,settimana,semana
2,verb,agree,accepter,zustimmen,aceptar,accettare,aceitar
2,verb,describe,décrire,beschreiben,describir,descrivere,descrever
