level,pos,en,fr,de,es,it,pt
1,adjective,scientific,scientifique,wissenschaftlich,científico,scientifico,científico
1,noun,book,livre,Buch,libro,libro,livro
1,noun,class,classe,Klasse,clase,classe,classe
1,noun,college,université,Hochschule,colegio,college,universidade
1,noun,course,cours,Kurs,curso,corso,curso
1,noun,dictionary,dictionnaire,Wörterbuch,diccionario,dizionario,dicionário
1,noun,homework,devoirs,Hausaufgaben,tarea,compiti,tarefa
1,noun,lesson,leçon,Unterricht,lección,lezione,lição
1,noun,student,étudiant,Schüler,estudiante,studente,estudante
1,noun,subject,matière,Fach,asignatura,materia,disciplina
1,noun,teacher,professeur,Lehrer,profesor,insegnante,professor
1,noun,test,test,Prüfung,prueba,test,teste
1,noun,university,université,Universität,universidad,università,universidade
1,noun,word,mot,Wort,palabra,parola,palavra
1,verb,do,faire,tun,hacer,fare,fazer
1,verb,learn,apprendre,lernen,aprender,imparare,aprender
1,verb,write,écrire,schreiben,escribere,scrivere,escrever
2,noun,blackboard,tableau noir,Tafel,pizarra,lavagna,quadro negro
2,noun,chemistry,chimie,Chemie,química,chimica,química
2,noun,classmate,camarade de classe,Klassenkamerad,compañero de clase,compagno di classe,colega de classe
2,noun,diploma,diplôme,Diplom,diploma,diploma,diploma
2,noun,exam,examen,Prüfung,examen,esame,exame
2,noun,examination,examen,Prüfung,examen,esame,exame
2,noun,exercise,exercice,Übung,ejercicio,esercizio,exercício
2,noun,highschool,lycée,Gymnasium,colegio,liceo,escola secundária
2,noun,history,histoire,Geschichte,historia,storia,história
2,noun,letter,lettre,Brief,carta,lettera,carta
2,noun,mark,note,Note,nota,voto,nota
2,noun,math,maths,Mathe,matemáticas,matematica,matemática
2,noun,maths,maths,Mathe,matemáticas,matematica,matemática
2,noun,paper,papier,Papier,papel,carta,papel
2,noun,pencil,crayon,Bleistift,lápiz,matita,lápis
2,noun,physics,physique,Physik,física,fisica,física
2,noun,project,projet,Projekt,proyecto,progetto,projeto
2,noun,pupil,élève,Schüler,alumno,alunno,aluno
2,noun,research,recherche,Forschung,investigación,ricerca,pesquisa
2,noun,school,école,Schule,escuela,scuola,escola
2,noun,schoolchild,écolier,Schulkind,escolar,scolaro,estudante
2,noun,sentence,phrase,Satz,frase,frase,frase
2,noun,term,terme,Begriff,término,termine,termo
2,noun,timetable,emploi du temps,Stundenplan,horario,orario,horário
2,noun,year,année,Jahr,año,anno,ano
