level,pos,en,fr,de,es,it,pt
1,adjective,better,meilleur,besser,mejor,migliore,melhor
1,adjective,fine,bien,gut,bien,bene,bem
1,adjective,good,bon,gut,buono,buono,bom
1,adjective,well,bien,gut,bien,bene,bem
1,noun,accident,accident,Unfall,accidente,incidente,acidente
1,noun,arm,bras,Arm,brazo,braccio,braço
1,noun,back,dos,Rücken,espalda,schiena,costas
1,noun,blood,sang,Blut,sangue,sangue,sangue
1,noun,brain,cerveau,Gehirn,cerebro,cervello,cérebro
1,noun,cold,froid,Kälte,frío,freddo,frio
1,noun,ear,oreille,Ohr,oreja,orecchio,orelha
1,noun,eye,œil,Auge,ojo,occhio,olho
1,noun,face,visage,Gesicht,cara,viso,rosto
1,noun,finger,doigt,Finger,dedo,dito,dedo
1,noun,foot,pied,Fuß,pie,piede,pé
1,noun,hand,main,Hand,mano,mano,mão
1,noun,head,tête,Kopf,cabeça,testa,cabeça
1,noun,headache,mal de tête,Kopfschmerzen,dolor de cabeza,mal di testa,dor de cabeça
1,noun,health,santé,Gesundheit,salute,salute,saúde
1,noun,heart,cœur,Herz,corazón,cuore,coração
1,noun,leg,jambe,Bein,pierna,gamba,perna
1,noun,medicine,médicament,Medizin,medicina,medicina,medicamento
1,noun,mouth,bouche,Mund,bocca,bocca,boca
1,noun,neck,cou,Hals,cuello,collo,pescoço
1,noun,nose,nez,Nase,nariz,naso,nariz
1,noun,pain,douleur,Schmerz,dolor,dolore,dor
1,noun,stomach,estomac,Magen,estómago,stomaco,estômago
1,noun,stomach ache,mal d'estomac,Magenschmerzen,dolor de estómago,mal di stomaco,dor de estômago
1,noun,temperature,température,Temperatura,temperatura,temperatura,temperatura
1,noun,toe,orteil,Zehe,dedo del pie,dito del piede,dedo do pé
1,noun,tooth,dent,Zahn,diente,dente,dente
1,noun,toothache,mal de dents,Zahnschmerzen,dolor de dientes,mal di denti,dor de dente
1,verb,catch,attraper,fangen,atrapar,prendere,apanhar
1,verb,do,faire,tun,hacer,fare,fazer
1,verb,have,avoir,haben,tener,avere,ter
1,verb,hurt,blesser,verletzen,herir,ferire,machucar
2,adjective,alright,d'accord,in Ordnung,bien,va bene,tudo bem
2,adjective,fit,en forme,fit,en forma,in forma,em forma
2,adjective,healthy,sain,gesund,sano,sano,saudável
2,adjective,ill,malade,krank,enfermo,malato,doente
2,adjective,sick,malade,krank,enfermo,malato,doente
2,adverb,how,comment,wie,cómo,come,como
2,noun,ache,douleur,Schmerz,dolor,dolore,dor
2,noun,ankle,cheville,Knöchel,tobillo,caviglia,tornozelo
2,noun,aspirin,aspirine,Aspirin,aspirina,aspirina,aspirina
2,noun,backache,mal de dos,Rückenschmerzen,dolor de espalda,mal di schiena,dor nas costas
2,noun,bandage,bandage,Verband,venda,benda,bandagem
2,noun,birth,naissance,Geburt,nacimiento,nascita,nascimento
2,noun,body,corps,Körper,cuerpo,corpo,corpo
2,noun,bone,os,Knochen,hueso,osso,osso
2,noun,bottom,fond,Hintern,fondo,fondo,fundo
2,noun,breast,sein,Brust,pecho,petto,peito
2,noun,breath,souffle,Atem,aliento,respiro,respiração
2,noun,cheek,joue,Wange,mejilla,guancia,bochecha
2,noun,chin,menton,Kinn,barba,mento,queixo
2,noun,cough,toux,Husten,tos,tosse,tosse
2,noun,cut,coupe,Schnitt,corte,taglio,corte
2,noun,diet,régime,Diät,dieta,dieta,dieta
2,noun,disease,maladie,Krankheit,enfermedad,malattia,doença
2,noun,earache,mal d'oreille,Ohrenschmerzen,dolor de oído,mal d'orecchio,dor de ouvido
2,noun,elbow,coude,Ellbogen,codo,gomito,cotovelo
2,noun,feeling,sentiment,Gefühl,sentimiento,sentimento,sentimento
2,noun,fever,fièvre,Fieber,febbre,febre,febre
2,noun,fitness,forme physique,Fitness,forma física,fitness,forma física
2,noun,flu,grippe,Grippe,gripe,influenza,gripe
2,noun,forehead,front,Stirn,frente,fronte,testa
2,noun,heart attack,crise cardiaque,Herzinfarkt,ataque al cuore,attacco di cuore,ataque cardíaco
2,noun,human,humain,Mensch,humano,umano,humano
2,noun,knee,genou,Knie,rodilla,ginocchio,joelho
2,noun,lip,lèvre,Lippe,labbro,labbro,lábio
2,noun,operation,opération,Operation,operación,operazione,operação
2,noun,patient,patient,Patient,paciente,paziente,paciente
2,noun,pill,pilule,Pille,pastilla,pillola,pílula
2,noun,shoulder,épaule,Schulter,hombro,spalla,ombro
2,noun,sight,vue,Sicht,vista,vista,visão
