level,pos,en,fr,de,es,it,pt
1,noun,birthday,anniversaire,Geburtstag,cumpleaños,compleanno,aniversário
1,noun,brother,frère,Bruder,hermano,fratello,irmão
1,noun,dad,papa,Papa,papá,papà,pai
1,noun,daughter,fille,Tochter,hija,figlia,filha
1,noun,father,père,Vater,padre,padre,pai
1,noun,friend,ami,Freund,amigo,amico,amigo
1,noun,girl,fille,Mädchen,chica,ragazza,menina
1,noun,husband,mari,Ehemann,esposo,marito,marido
1,noun,man,homme,Mann,hombre,uomo,homem
1,noun,mother,mère,Mutter,madre,madre,mãe
1,noun,mum,maman,Mama,mamá,mamma,mãe
1,noun,parent,parent,Elternteil,padre,genitore,pai
1,noun,party,fête,Party,fiesta,festa,festa
1,noun,sister,sœur,Schwester,hermana,sorella,irmã
1,noun,son,fils,Sohn,hijo,figlio,filho
1,noun,thing,chose,Ding,cosa,cosa,coisa
1,noun,time,temps,Zeit,tiempo,tempo,tempo
1,noun,way,chemin,Weg,camino,modo,caminho
1,noun,wife,femme,Ehefrau,esposa,moglie,esposa
1,noun,woman,femme,Frau,mujer,donna,mulher
1,noun,year,année,Jahr,año,anno,ano
1,verb,ask,demander,fragen,preguntare,chiedere,perguntar
1,verb,feel,sentir,fühlen,sentire,sentire,sentir
1,verb,find,trouver,finden,encontrar,trovare,encontrar
1,verb,give,donner,geben,dare,dare,doar
1,verb,like,aimer,mögen,gustare,piacere,gostar
1,verb,look,regarder,schauen,guardare,guardare,olhar
1,verb,make,faire,machen,fare,fare,fazer
1,verb,say,dire,sagen,decire,dire,dizer
1,verb,see,voir,sehen,vedere,vedere,ver
1,verb,talk,parler,sprechen,hablare,parlare,falar
1,verb,tell,dire,erzählen,decire,dire,dizer
1,verb,think,penser,denken,pensare,pensare,pensar
2,adjective,close,proche,nahe,cercano,vicino,próximo
2,adjective,married,marié,verheiratet,casado,sposato,casado
2,adjective,single,célibataire,ledig,soltero,single,solteiro
2,noun,advice,conseil,Ratschlag,consejo,consiglio,conselho
2,noun,alot,beaucoup,viel,mucho,molto,muito
2,noun,attention,attention,Aufmerksamkeit,atención,attenzione,atenção
2,noun,aunt,tante,Tante,tía,zia,tia
2,noun,boy,garçon,Junge,chico,ragazzo,menino
2,noun,boyfriend,copain,Freund,novio,fidanzato,namorado
2,noun,chance,chance,Chance,oportunità,opportunità,chance
2,noun,cousin,cousin,Cousin,primo,cugino,primo
2,noun,deal,accord,Deal,accordo,affare,acordo
2,noun,feeling,sentiment,Gefühl,sentimiento,sentimento,sentimento
2,noun,fun,amusement,Spaß,divertimento,divertimento,diversão
2,noun,girlfriend,copine,Freundin,novia,fidanzata,namorada
2,noun,grandchild,petit-enfant,Enkelkind,nieto,nipote,neto
2,noun,granddad,papi,Opa,abuelo,nonno,avô
2,noun,granddaughter,petite-fille,Enkelin,nieta,nipote,neta
2,noun,grandfather,grand-père,Großvater,abuelo,nonno,avô
2,noun,grandma,mamie,Oma,abuela,nonna,avó
2,noun,grandmother,grand-mère,Großmutter,abuela,nonna,avó
2,noun,grandpa,papi,Opa,abuelo,nonno,avô
2,noun,grandparent,grand-parent,Großeltern,abuelo,nonno,avô
2,noun,grandson,petit-fils,Enkel,nieto,nipote,neto
2,noun,granny,mamie,Oma,abuela,nonna,avó
2,noun,guest,invité,Gast,invitato,ospite,convidado
2,noun,kid,enfant,Kind,niño,bambino,criança
2,noun,lady,dame,Dama,señora,signora,senhora
2,noun,member,membre,Member,miembro,membro,membro
2,noun,mom,maman,Mama,mamá,mamma,mãe
2,noun,neighbour,voisin,Nachbar,vecino,vicino,vizinho
2,noun,person,personne,Person,persona,persona,pessoa
2,noun,self,soi,selbst,sé stesso,stesso,próprio
2,noun,situation,situation,Situation,situazione,situazione,situação
2,noun,stuff,truc,Zeug,cosas,cose,coisas
2,noun,uncle,oncle,Onkel,tío,zio,tio
2,verb,act,agir,handeln,actuar,agire,agir
2,verb,break,casser,brechen,rompere,rompere,quebrar
2,verb,care,soin,Pflege,cuidado,cura,cuidado
2,verb,date,date,Datum,data,data,data
2,verb,decide,décider,entscheiden,decidere,decidere,decidir
2,verb,end,finir,enden,finire,finire,terminar
2,verb,enjoy,apprécier,genießen,disfrutare,godere,apreciar
2,verb,fall,tomber,fallen,caerse,cadere,cair
2,verb,flirt,flirter,flirten,flirtear,flirtare,flertar
2,verb,forget,oublier,vergessen,dimenticare,dimenticare,esquecer
2,verb,guess,deviner,raten,indovinare,indovinare,adivinhar
2,verb,hang,accrocher,hängen,colgar,appendere,pendurar
2,verb,hope,espérer,hoffen,esperare,sperare,esperar
2,verb,hurt,blesser,verletzen,herir,ferire,machucar
2,verb,keep,garder,behalten,mantenere,tenere,manter
2,verb,kiss,embrasser,küssen,besare,baciare,beijar
2,verb,let,laisser,lassen,dejar,lasciare,deixar
2,verb,lie,mentir,lügen,mentire,mentire,mentir
2,verb,marry,épouser,heiraten,casarse,sposare,casar
2,verb,meet,rencontrer,treffen,incontrare,incontrare,encontrar
2,verb,miss,manquer,vermissen,perdere,mancare,perder
2,verb,move,déménager,umziehen,mudarse,trasferirsi,mudar
2,verb,realize,réaliser,realisieren,darse cuenta,realizzare,perceber
2,verb,respect,respecter,respektieren,respetare,rispettare,respeitar
2,verb,seem,sembler,scheinen,parecer,sembrare,parecer
2,verb,smile,sourire,lächeln,sonreír,sorridere,sorrir
2,verb,sound,sonner,klingen,sonar,suonare,soar
2,verb,spend,dépenser,ausgeben,gastare,spendere,gastar
2,verb,stay,rester,bleiben,quedarse,rimanere,ficar
2,verb,trust,faire confiance,vertrauen,confiar,affidarsi,confiar
2,verb,turn,tourner,drehen,girar,girare,virar
2,verb,wait,attendre,warten,aspettare,aspettare,esperar
2,verb,wish,souhaiter,wünschen,desear,desiderare,desejar
3,adjective,divorced,divorcé,geschieden,divorciado,divorziato,divorciado
3,adjective,engaged,fiancé,verlobt,comprometido,fidanzato,noivo
3,adjective,strong,fort,stark,fuerte,forte,forte
3,noun,anniversary,anniversaire,Jahrestag,aniversario,anniversario,aniversário
3,noun,bride,mariée,Braut,novia,sposa,noiva
3,noun,celebration,célébration,Feier,celebración,celebrazione,celebração
3,noun,ceremony,cérémonie,Zeremonie,ceremonia,cerimonia,cerimônia
3,noun,couple,couple,Paar,pareja,coppia,casal
3,noun,culture,culture,Kultur,cultura,cultura,cultura
3,noun,date,date,Datum,data,data,data
3,noun,divorce,divorce,Scheidung,divorcio,divorzio,divórcio
3,noun,enemy,ennemi,Feind,enemigo,nemico,inimigo
3,noun,family,famille,Familie,familia,famiglia,família
3,noun,friendship,amitié,Freundschaft,amistad,amicizia,amizade
3,noun,groom,marié,Brautigam,novio,sposo,noivo
3,noun,love,amour,Liebe,amore,amore,amor
3,noun,lover,amant,Liebhaber,amante,amante,amante
3,noun,marriage,mariage,Ehe,matrimonio,matrimonio,casamento
3,noun,mate,compagnon,Kamerad,compañero,compagno,companheiro
3,noun,nephew,neveu,Neffe,sobrino,nipote,sobrinho
3,noun,niece,nièce,Nichte,sobrina,nipote,sobrinha
3,noun,partner,partenaire,Partner,socio,partner,parceiro
3,noun,relation,relation,Beziehung,relación,relazione,relação
3,noun,relationship,relation,Beziehung,relación,relazione,relação
3,noun,relative,parent,Verwandter,pariente,parente,parente
3,noun,romance,romance,Romanze,romance,romance,romance
3,noun,stranger,étranger,Fremder,extraño,straniero,estranho
3,noun,twin,jumeau,Zwilling,gemelo,gemello,gêmeo
3,noun,wedding,mariage,Hochzeit,boda,matrimonio,casamento
3,verb,call,appeler,anrufen,chiamare,chiamare,chamar
3,verb,celebrate,célébrer,feiern,celebrare,celebrare,celebrar
3,verb,leave,partir,verlassen,partire,partire,partir
4,adjective,fellow,camarade,Kollege,compañero,compagno,companheiro
4,adjective,related,lié,verwandt,relacionado,correlato,relacionado
4,adjective,united,uni,vereint,unido,unito,unido
4,noun,adoption,adoption,Adoption,adopción,adozione,adoção
4,noun,affair,affaire,Angelegenheit,asunto,affare,assunto
4,noun,ancestor,ancêtre,Ahne,ancestro,antenato,ancestral
4,noun,bond,lien,Bindung,vínculo,legame,vínculo
4,noun,brother-in-law,beau-frère,Schwager,cuñado,cognato,cunhado
4,noun,circle,cercle,Kreis,círculo,cerchio,círculo
4,noun,community,communauté,Gemeinschaft,comunidad,comunità,comunidade
4,noun,companion,compagnon,Gefährte,compañero,compagno,companheiro
4,noun,company,entreprise,Unternehmen,empresa,azienda,empresa
4,noun,darling,chéri,Schatz,cariño,tesoro,querido
4,noun,daughter-in-law,belle-fille,Schwiegertochter,nuera,nuora,nora
4,noun,father-in-law,beau-père,Schwiegervater,suegro,suocero,sogro
4,noun,funeral,enterrement,Beerdigung,funeral,funerale,funeral
4,noun,gang,bande,Bande,pandilla,banda,gangue
4,noun,host,hôte,Gastgeber,anfitrión,ospite,anfitrião
4,noun,household,ménage,Haushalt,hogar,família,lar
4,noun,mother-in-law,belle-mère,Schwiegermutter,suegra,suocera,sogra
4,noun,opponent,adversaire,Gegner,oponente,avversario,oponente
4,noun,partnership,partenariat,Partnerschaft,asociación,partenariato,parceria
4,noun,roommate,colocataire,Mitbewohner,compañero de cuarto,coinquilino,colega de quarto
4,noun,separation,séparation,Trennung,separación,separazione,separação
4,noun,sister-in-law,belle-sœur,Schwägerin,cuñada,cognata,cunhada
4,noun,son-in-law,beau-fils,Schwiegersohn,yerno,genero,genro
4,noun,stepfather,beau-père,Stiefvater,padrastro,patrigno,padrasto
4,noun,stepmother,belle-mère,Stiefmutter,madrastra,matrigna,madrasta
4,noun,tension,tension,Spannung,tensión,tensione,tensão
4,noun,tribe,tribu,Stamm,tribù,tribù,tribo
4,noun,widow,veuve,Witwe,viuda,vedova,viúva
4,verb,adopt,adopter,adoptieren,adoptar,adottare,adotar
4,verb,divorce,divorcer,scheiden,divorciar,divorziare,divorciar
4,verb,fancy,aimer,mögen,gustar,piacere,gostar
4,verb,mix,mélanger,mischen,mezclar,mescolare,misturar
4,verb,separate,séparer,trennen,separar,separare,separar
4,verb,socialize,socialiser,sozialisieren,socializar,socializzare,socializar
5,adjective,unmarried,célibataire,unverheiratet,soltero,single,solteiro
5,noun,hospitality,hospitalité,Gastfreundschaft,hospitalidad,ospitalità,hospitalidade
5,noun,unit,unité,Einheit,unidad,unità,unidade
5,verb,rear,élever,aufziehen,criar,crescere,criar
6,adjective,inseparable,inséparable,untrennbar,inseparable,inseparabile,inseparável
6,adjective,intimate,intime,vertraut,íntimo,intimo,íntimo
6,adjective,rocky,rocheux,felsig,rocoso,roccioso,rochoso
6,noun,attraction,attraction,Anziehungskraft,atracción,attrazione,atração
6,noun,orphan,orphelin,Waisenkind,huérfano,orfano,órfão
6,noun,sibling,frère et sœur,Geschwister,hermano,fratello,irmão
6,noun,side,côté,Seite,lado,lado,lado
6,noun,spouse,époux,Ehepartner,cónyuge,coniuge,cônjuge
6,verb,bond,lier,binden,unir,legare,unir
6,verb,click,cliquer,klicken,hacer clic,cliccare,clicar
6,verb,part,partir,teilen,partir,partire,partir
