level,pos,en,fr,de,es,it,pt
1,adjective,cold,froid,kalt,frío,freddo,frio
1,adjective,warm,chaud,warm,cálido,caldo,quente
1,noun,beach,plage,Strand,playa,spiaggia,praia
1,noun,boat,bateau,Boot,barco,barca,barco
1,noun,bus,bus,Bus,autobús,autobus,ônibus
1,noun,car,voiture,Auto,coche,macchina,carro
1,noun,flower,fleur,Blume,flor,fiore,flor
1,noun,grass,herbe,Gras,hierba,erba,grama
1,noun,holiday,vacances,Urlaub,vacaciones,vacanza,feriado
1,noun,park,parc,Park,parque,parco,parque
1,noun,place,lieu,Ort,lugar,luogo,lugar
1,noun,plane,avion,Flugzeug,avión,aereo,avião
1,noun,plant,plante,Pflanze,planta,pianta,planta
1,noun,rain,pluie,Regen,lluvia,pioggia,chuva
1,noun,river,rivière,Fluss,río,fiume,rio
1,noun,road,route,Straße,carretera,strada,estrada
1,noun,sea,mer,Meer,mar,mare,mar
1,noun,snow,neige,Schnee,nieve,neve,neve
1,noun,stop,arrêt,Halt,parada,fermata,parada
1,noun,street,rue,Straße,calle,strada,rua
1,noun,summer,été,Sommer,verano,estate,verão
1,noun,sun,soleil,Sonne,sol,sole,sole
1,noun,taxi,taxi,Taxi,taxi,taxi,táxi
1,noun,town,ville,Stadt,pueblo,città,cidade
1,noun,train,train,Zug,tren,treno,trem
1,noun,tree,arbre,Baum,árbol,albero,árvore
1,noun,village,village,Dorf,pueblo,paese,vila
1,noun,weather,temps,Wetter,tiempo,tempo,tempo
1,noun,wind,vent,Wind,viento,vento,vento
1,noun,winter,hiver,Winter,invierno,inverno,inverno
1,noun,world,monde,Welt,mundo,mondo,mundo
1,verb,catch,attraper,fangen,atrapar,afferrare,pegar
2,adjective,cloudy,nuageux,wolkig,nublado,nuvoloso,nublado
2,adjective,dry,sec,trocken,secco,secco,seco
2,adjective,foggy,brumeux,nebligoso,brumoso,nebbioso,nevoento
2,adjective,gold,or,Gold,oro,oro,ouro
2,adjective,golden,doré,golden,dorado,dorato,dourado
2,adjective,sunny,ensoleillé,sonnig,soleado,soleggiado,ensolarado
2,adjective,wet,mouillé,nass,mojado,bagnado,molhado
2,adjective,windy,ventoso,windig,ventoso,ventoso,ventoso
2,noun,adventure,aventure,Abenteuer,aventura,avventura,aventura
2,noun,aeroplane,avion,Flugzeug,avión,aereo,avião
2,noun,air,air,Luft,aire,aria,ar
2,noun,airport,aéroport,Flughafen,aeropuerto,aeroporto,aeroporto
2,noun,area,zone,Gebiet,área,area,área
2,noun,autumn,automne,Herbst,otoño,autunno,outono
2,noun,bicycle,vélo,Fahrrad,bicicleta,bicicletta,bicicleta
2,noun,bike,vélo,Fahrrad,bicicleta,bicicletta,bicicleta
2,noun,bus station,gare routière,Busbahnhof,estación de autobuses,stazione degli autobus,estação de ônibus
2,noun,bus stop,arrêt de bus,Bushaltestelle,parada de autobús,fermata dell'autobus,paragem de autocarro
2,noun,camping,camping,Camping,camping,campeggio,camping
2,noun,car park,parking,Parkplatz,aparcamiento,parcheggio,estacionamento
2,noun,case,valise,Koffer,maleta,valigia,maleta
2,noun,coach,car,Reisebus,autocar,autobus,autocarro
2,noun,countryside,campagne,Landschaft,campo,campagna,campo
2,noun,desert,désert,Wüste,desierto,deserto,deserto
2,noun,driving licence,permis de conduire,Führerschein,carnet de conducir,patente di guida,carta de condução
2,noun,exit,sortie,Ausgang,salida,uscita,saída
2,noun,field,champ,Feld,campo,campo,campo
2,noun,flight,vol,Flug,vuelo,volo,voo
2,noun,fog,brouillard,Nebel,niebla,nebbia,neblina
2,noun,forest,forêt,Wald,bosque,foresta,floresta
2,noun,geography,géographie,Geografie,geografía,geografia,geografia
2,noun,gold,or,Gold,oro,oro,ouro
2,noun,guest,invité,Gast,invitado,ospite,convidado
2,noun,guidebook,guide,Reiseführer,guía turística,guida turistica,guia turístico
2,noun,helicopter,hélicoptère,Helikopter,helicóptero,elicottero,helicóptero
2,noun,hill,colline,Hügel,colina,collina,colina
2,noun,ice,glace,Eis,hielo,ghiaccio,gelo
2,noun,island,île,Insel,isla,isola,ilha
2,noun,journey,voyage,Reise,viaje,viaggio,viagem
2,noun,lake,lac,See,lago,lago,lago
2,noun,lift,ascenseur,Aufzug,ascensor,ascensore,elevador
2,noun,luggage,bagage,Gepäck,equipaje,bagaglio,bagagem
2,noun,map,carte,Karte,mapa,mappa,mapa
2,noun,motorbike,moto,Motorrad,motocicleta,motocicletta,motocicleta
2,noun,motorway,autoroute,Autobahn,autopista,autostrada,autoestrada
2,noun,mountain,montagne,Berg,montaña,montagna,montanha
2,noun,nature,nature,Natur,naturaleza,natura,natureza
2,noun,passenger,passagier,Passagier,pasajero,passeggero,passageiro
2,noun,petrol,essence,Benzin,gasolina,benzina,gasolina
2,noun,petrol station,station-service,Tankstelle,gasolinera,stazione di servizio,posto de gasolina
2,noun,platform,quai,Bahnsteig,andén,binario,plataforma
2,noun,postcard,carte postale,Postkarte,postal,cartolina,cartão postal
2,noun,railway,chemin de fer,Eisenbahn,ferrocarril,ferrovia,ferrovia
2,noun,roundabout,rond-point,Kreisverkehr,rotonda,rotonda,rotatória
2,noun,scooter,scooter,Roller,scooter,scooter,scooter
2,noun,ship,bateau,Schiff,barco,nave,navio
2,noun,sightseeing,tourisme,Sehenswürdigkeiten,turismo,turismo,turismo
2,noun,silver,argent,Silber,plata,argento,prata
2,noun,sky,ciel,Himmel,cielo,cielo,céu
2,noun,spring,printemps,Frühling,primavera,primavera,primavera
2,noun,stamp,timbre,Briefmarke,sello,francobollo,selo
2,noun,star,étoile,Stern,estrella,stella,estrela
2,noun,storm,tempête,Sturm,tormenta,tempesta,tempestade
2,noun,suitcase,valise,Koffer,maleta,valigia,maleta
2,noun,thunderstorm,orage,Gewitter,tormenta,temporale,tempestade
2,noun,tour,tour,Tour,recorrido,giro,passeio
2,noun,tourist,touriste,Tourist,turista,turista,turista
2,noun,traffic light,feu de circulation,Ampel,semáforo,semaforo,semáforo
2,noun,tram,tramway,Straßenbahn,tranvía,tram,tram
2,noun,trip,voyage,Reise,viaje,viaggio,viagem
2,noun,tyre,pneu,Reifen,neumático,pneumatico,pneu
2,noun,view,vue,Aussicht,vista,veduta,vista
2,noun,visitor,visiteur,Besucher,visitante,visitatore,visitante
2,noun,water,eau,Wasser,agua,acqua,água
